rank,gene,stat,hit,running_es,CellType
8419,CDO1,0.0011857124045491219,False,0.3839808952683388,CD4 T cells
8420,ARL9,0.0011849403381347656,False,0.3839104528902041,CD4 T cells
8421,MTFR1L,0.0011823922395706177,False,0.3838400105120694,CD4 T cells
8422,FCGR2C,0.0011816658079624176,False,0.3837695681339347,CD4 T cells
8423,ZNF674,0.0011790990829467773,False,0.3836991257558,CD4 T cells
8424,GPT,0.0011787510011345148,False,0.3836286833776653,CD4 T cells
8425,ZHX1,0.0011730864644050598,False,0.3835582409995306,CD4 T cells
8426,GLI2,0.0011723439674824476,False,0.3834877986213959,CD4 T cells
8427,KCNE2,0.0011717822635546327,False,0.38341735624326123,CD4 T cells
8428,CCND3,0.001170516014099121,False,0.38334691386512654,CD4 T cells
8429,ZNF579,0.001156124286353588,False,0.38327647148699184,CD4 T cells
8430,IQCJ-SCHIP1,0.0011484249262139201,False,0.38320602910885715,CD4 T cells
8431,LANCL2,0.0011477991938591003,False,0.38313558673072245,CD4 T cells
8432,ABCF2,0.0011444687843322754,False,0.38306514435258776,CD4 T cells
8433,CLEC14A,0.0011428343132138252,False,0.38299470197445307,CD4 T cells
8434,DHX34,0.001141481101512909,False,0.3829242595963184,CD4 T cells
8435,GADD45G,0.0011409204453229904,False,0.3828538172181837,CD4 T cells
8436,CEBPE,0.0011398987844586372,False,0.382783374840049,CD4 T cells
8437,MDN1,0.0011371523141860962,False,0.3827129324619143,CD4 T cells
8438,KDR,0.0011368999257683754,False,0.3826424900837796,CD4 T cells
8439,CPLX3,0.0011342564830556512,False,0.3825720477056449,CD4 T cells
8440,RELN,0.0011331867426633835,False,0.3825016053275102,CD4 T cells
8441,HHIPL2,0.0011330858105793595,False,0.3824311629493755,CD4 T cells
8442,LYL1,0.0011311313137412071,False,0.3823607205712408,CD4 T cells
8443,UACA,0.0011283159255981445,False,0.3822902781931061,CD4 T cells
8444,FAM109B,0.0011274591088294983,False,0.38221983581497143,CD4 T cells
8445,RBM43,0.001123666763305664,False,0.38214939343683674,CD4 T cells
8446,RIN2,0.0011202692985534668,False,0.38207895105870204,CD4 T cells
8447,CD1E,0.0011196029372513294,False,0.38200850868056735,CD4 T cells
8448,DIO1,0.0011175274848937988,False,0.38193806630243265,CD4 T cells
8449,KLHL42,0.001114383339881897,False,0.38186762392429796,CD4 T cells
8450,ESYT2,0.0011137127876281738,False,0.38179718154616327,CD4 T cells
8451,TMPRSS2,0.0011083385907113552,False,0.3817267391680286,CD4 T cells
8452,CUBN,0.001107335090637207,False,0.3816562967898939,CD4 T cells
8453,PCDHB7,0.0011027916334569454,False,0.3815858544117592,CD4 T cells
8454,SLC19A3,0.0010989904403686523,False,0.3815154120336245,CD4 T cells
8455,PCDHGB5,0.001097855158150196,False,0.3814449696554898,CD4 T cells
8456,CCT6B,0.0010961014777421951,False,0.3813745272773551,CD4 T cells
8457,NME4,0.001095406711101532,False,0.3813040848992204,CD4 T cells
8458,ZNF563,0.0010938942432403564,False,0.3812336425210857,CD4 T cells
8459,NAV1,0.001087091863155365,False,0.381163200142951,CD4 T cells
8460,NME6,0.0010663270950317383,False,0.3810927577648163,CD4 T cells
8461,OLIG2,0.001062596682459116,False,0.38102231538668163,CD4 T cells
8462,ADAM11,0.0010583166731521487,False,0.38095187300854694,CD4 T cells
8463,MAST4,0.001056954264640808,False,0.38088143063041224,CD4 T cells
8464,KEL,0.0010528299026191235,False,0.38081098825227755,CD4 T cells
8465,LMAN1,0.001049429178237915,False,0.38074054587414285,CD4 T cells
8466,PAWR,0.00104813021607697,False,0.38067010349600816,CD4 T cells
8467,C2orf49,0.0010477378964424133,False,0.38059966111787347,CD4 T cells
8468,ITFG1,0.0010466277599334717,False,0.3805292187397388,CD4 T cells
8469,CLEC16A,0.0010399222373962402,False,0.3804587763616041,CD4 T cells
8470,SLIT3,0.001037626527249813,False,0.3803883339834694,CD4 T cells
8471,RFESD,0.0010364986956119537,False,0.3803178916053347,CD4 T cells
8472,MYOZ1,0.0010357671417295933,False,0.3802474492272,CD4 T cells
8473,METTL16,0.0010317564010620117,False,0.3801770068490653,CD4 T cells
8474,ARHGEF10L,0.0010312413796782494,False,0.3801065644709306,CD4 T cells
8475,SIDT2,0.0010310187935829163,False,0.3800361220927959,CD4 T cells
8476,ARHGAP1,0.0010303258895874023,False,0.3799656797146612,CD4 T cells
8477,EN1,0.001027084537781775,False,0.3798952373365265,CD4 T cells
8478,CLCF1,0.0010246355086565018,False,0.37982479495839183,CD4 T cells
8479,FXYD1,0.0010243495926260948,False,0.37975435258025714,CD4 T cells
8480,CYP4B1,0.0010211565531790257,False,0.37968391020212244,CD4 T cells
8481,LTB4R,0.0010210871696472168,False,0.37961346782398775,CD4 T cells
8482,SCN9A,0.0010198019444942474,False,0.37954302544585306,CD4 T cells
8483,DAPK1,0.0010141199454665184,False,0.37947258306771836,CD4 T cells
8484,NAA35,0.0010127723217010498,False,0.37940214068958367,CD4 T cells
